Package Name	Version	Top-level Module	Apt_version
debian	0.1.36ubuntu1	debian	0.1.36ubuntu1
debianbts	3.0.2	debianbts	3.0.2
debiancontributors	0.7.8	debiancontributors	0.7.8-2
debtcollector	2.0.0	debtcollector	2.0.0-0ubuntu1
decorator	4.4.2	decorator	4.4.2-0ubuntu1
decouple	$	decouple	3.1-4
deepdiff	3.3.0	deepdiff	3.3.0-2
deeptools	3.3.2	deeptools	3.3.2+ds-2
deeptoolsintervals	0.1.9	deeptoolsintervals	0.1.9-2build1
defcon	0.6.0	defcon	0.6.0-1
defer	1.0.6	defer	1.0.6-2.1
defusedxml	0.6.0	defusedxml	0.6.0-2
demjson	2.2.4	demjson	2.2.4-5
dendropy	4.4.0	dendropy	4.4.0-2
depinfo	1.5.3	#	1.5.3-1
deprecated	1.2.7	deprecated	1.2.7-1
deprecation	2.0.7	deprecation	2.0.7-1
derpconf	0.8.2	derpconf	0.8.2-3
descartes	1.1.0	descartes	1.1.0-3
designate-dashboard	10.0.0	#	10.0.0-0ubuntu0.20.04.1
designate	10.0.2	designate	1:10.0.2-0ubuntu1
designateclient	2.11.0	designateclient	2.11.0-0ubuntu2
dev	#	#	3.8.2-0ubuntu2
dev	#	#	3.8.2-0ubuntu2
devpi-common	3.2.2	devpi_common	3.2.2-1
dexml	0.5.1	dexml	0.5.1-2
dfdatetime	20190116	dfdatetime	20190116-1.1
dfvfs	20190128	dfvfs	20190128-2.1
dfwinreg	20190122	dfwinreg	20190122-1.1
diagnostic-msgs	$	diagnostic_msgs	1.12.7-2
dialog	3.4.0	dialog	3.4.0-1
diaspy	0.6.0	diaspy	0.6.0-2
dib-utils	0.0.11	#	0.0.11-2
dicoclient	1.1	dicoclient	2.9-2build2
dicom	#	#	1.4.1-1
dicompylercore	0.5.5	dicompylercore	0.5.5-2
dict2xml	1.6.1	dict2xml	1.6.1-1
dicteval	0.0.6	dicteval	0.0.6-2.1
dictobj	0.4	dictobj	0.4-4
dicttoxml	1.7.4	dicttoxml	1.7.4-2
diff-match-patch	20181111	diff_match_patch	20181111-3
digitalocean	1.13.2	digitalocean	1.13.2-2
dijitso	2019.1.0	dijitso	2019.1.0-3
dill	0.3.1.1	dill	0.3.1.1-1
dirspec	13.10	dirspec	13.10-1.1
diskimage-builder	2.35.0	diskimage_builder	2.35.0-0ubuntu1
dissononce	0.34.3	dissononce	0.34.3-2
distlib	0.3.0	distlib	0.3.0-1
distorm3	3.4.1	distorm3	3.4.1-4
distributed	1.25.0+ds.1	distributed	1.25.0+ds.1-1
distro-info	0.23ubuntu1	distro_info	0.23ubuntu1
distro	1.4.0	distro	1.4.0-1
distupgrade	#	#	1:20.04.39
distutils-extra	#	#	2.43
distutils	3.8.10	distutils	3.8.10-0ubuntu1~20.04
dj-database-url	$	dj_database_url	0.5.0-2
dj-static	$	dj_static	0.0.6-6
django-adminsortable	#	#	2.0.10-3
django-allauth	#	#	0.41.0+ds-1
django-anymail	#	#	7.0.0-1
django-appconf	#	#	1.0.3-1
django-assets	(2, 0)	django_assets	2.0-1
django-auth-ldap	2.1.0	django_auth_ldap	2.1.0-1
django-auto-one-to-one	$	django_auto_one_to_one	3.3.0-1
django-axes-doc	#	#	5.0.7-1
django-axes	#	#	5.0.7-1
django-babel	0.6.2	django_babel	0.6.2-4ubuntu1
django-bitfield	#	#	1.9.6-2
django-braces	#	#	1.14.0-1
django-captcha	#	#	0.5.6-2
django-cas-server-doc	#	#	1.1.0-1
django-cas-server	#	#	1.1.0-1
django-casclient	#	#	1.5.1-1
django-celery-beat	1.1.1	django_celery_beat	1.1.1-1
django-celery-haystack	#	#	0.10-4
django-celery-results	1.0.4	django_celery_results	1.0.4-1
django-channels	#	#	2.4.0-1
django-classy-tags	#	#	1.0.0-2
django-compressor	#	#	2.2-5
django-contact-form	#	#	1.4.2-3
django-cors-headers	#	#	2.2.0-2
django-countries	$	django_countries	5.3.2-2
django-crispy-forms	#	#	1.7.2-2
django-csp	#	#	3.5-2
django-dbconn-retry	$	django_dbconn_retry	0.1.5-1
django-debreach	#	#	2.0.1-0ubuntu1
django-debug-toolbar	#	#	1:2.0-1
django-dirtyfields	#	#	1.3.1-2
django-downloadview	2.1.1	django_downloadview	2.1.1-1
django-environ	#	#	0.4.4-2
django-etcd-settings	#	#	0.1.13+dfsg-3
django-extensions	2.2.1	django_extensions	2.2.1-1
django-extra-views	#	#	0.12.0-2
django-filters	2.1.0	django_filters	2.1.0-1
django-formtools	#	#	2.2-0ubuntu1
django-fsm-admin	#	#	1.2.4-2
django-fsm	$	django_fsm	2.6.1-2
django-gravatar2	#	#	1.4.2-4ubuntu1
django-guardian	#	#	2.0.0-2
django-haystack	#	#	2.8.1-3
django-horizon	#	#	3:18.3.5-0ubuntu2
django-housekeeping	$	django_housekeeping	1.2-1~ubuntu20.04.1
django-hvad	#	#	1.8.0-1
django-hyperkitty	#	#	1.3.2-1
django-imagekit	#	#	4.0.2-3
django-impersonate	#	#	1.4.1-1
django-ipware	#	#	2.1.0-1
django-jinja	$	django_jinja	2.6.0-1
django-js-asset	#	#	1.2.2-2
django-js-reverse	$	django_js_reverse	0.7.3-1
django-jsonfield	#	#	1.1.0-2
django-ldapdb	#	#	1.4.0-1
django-macaddress	#	#	1.5.0-2
django-mailer	#	#	2.0-0ubuntu1
django-mailman3	$	django_mailman3	1.3.2-1
django-maintenancemode	#	#	0.11.3-1
django-markupfield	#	#	1.5.0-2
django-measurement	$	django_measurement	3.1.1-1
django-memoize	#	#	2.2.0+dfsg-1
django-model-utils	#	#	3.1.1-2
django-modelcluster	#	#	5.0.1-2
django-modeltranslation	#	#	0.13.3-0.1
django-mptt	#	#	0.10.0-1
django-navtag	$	django_navtag	2.1.3-2
django-netfields	#	#	1.2.2-1
django-nose	1.4.6	django_nose	1.4.6-2.1
django-notification	#	#	1.2.0-3
django-oauth-toolkit	#	#	1.2.0-2
django-openstack-auth	#	#	3:18.3.5-0ubuntu2
django-ordered-model	#	#	3.3.0-1
django-organizations	#	#	1.1.2-1
django-otp	$	django_otp	0.8.1-1
django-pagination	#	#	1.0.7-4
django-paintstore	#	#	0.2-4
django-picklefield	#	#	2.1.1-1
django-pipeline	#	#	1.6.14-3
django-piston3	#	#	0.3~rc2-3ubuntu9
django-polymorphic	#	#	2.1.2-2
django-postorius	#	#	1.2.4-1ubuntu0.1
django-prometheus	2.0.0	django_prometheus	2.0.0-1
django-push-notifications	#	#	1.4.1-1
django-pyscss	#	#	2.0.2-9
django-ldap	&	&	0.11.3-1
django-q	$	django_q	1.0.2-1
django-ranged-response	#	#	0.2.0-2ubuntu1
django-recurrence	#	#	1.10.2-1
django-redis-admin	#	#	1.4.0-2
django-redis-sessions	#	#	0.6.1-2
django-redis	4.11.0	django_redis	4.11.0-1
django-registration	#	#	2.2-3
django-rest-hooks	#	#	1.6.0-1
django-restframework-guardian	#	#	0.3.0-2
django-restricted-resource	(0, 2, 8, 'dev', 0)	django_restricted_resource	2016.8-3
django-reversion	#	#	3.0.7-1
django-rules	#	#	2.2.0-1
django-saml2	#	#	0.18.1-1
django-sass-processor	#	#	0.5.4-1
django-sekizai	#	#	1.0.0-2
django-session-security	#	#	2.6.5+dfsg-3
django-setuptest	#	#	0.2.1-4
django-shortuuidfield	#	#	0.1.3-3
django-simple-history	#	#	2.7.0-1
django-sitetree	#	#	1.14.0+dfsg-1
django-split-settings	#	#	0.3.0-2
django-storages-azure	#	#	1.9.1-1
django-storages-boto3	#	#	1.9.1-1
django-storages-dropbox	#	#	1.9.1-1
django-storages-ftp	#	#	1.9.1-1
django-storages-libcloud	#	#	1.9.1-1
django-storages-sftp	#	#	1.9.1-1
django-storages	#	#	1.9.1-1
django-stronghold	#	#	0.3.0+debian-2
django-tables2	#	#	2.1.1-1
django-tagging	#	#	1:0.4.5-2
django-taggit	#	#	0.24.0-2
django-tastypie	#	#	0.13.3-1.1
django-test-without-migrations	#	#	0.6-5
django-testproject	$	django_testproject	0.1.3-3
django-testscenarios	$	django_testscenarios	0.10-2
django-timezone-field	#	#	4.0-1
django-treebeard	#	#	4.3.1+dfsg-1
django-uwsgi	0.2.2	django_uwsgi	0.2.2-2
django-waffle	#	#	0.20.0-1
django-webpack-loader	#	#	0.6.0-2
django-websocket-redis	#	#	0.4.7-2
django-wkhtmltopdf	#	#	3.3.0-1
django-x509	(0, 4, 1, 'final')	django_x509	0.4.1-1
django-xmlrpc	0.1.8	django_xmlrpc	0.1.8-2
django	2.2.12	django	2:2.2.12-1ubuntu0.14
djangorestframework-extensions	#	#	0.6.0-1
djangorestframework-filters	#	#	1.0.0.dev0-1
djangorestframework-generators	#	#	0.4.0-1
djangorestframework-gis	#	#	0.14-3
djangorestframework-haystack	#	#	1.8.6-1
djangorestframework	#	#	3.10.2-1
djorm-ext-pgarray	#	#	1.2-0ubuntu4
djoser	2.0.3	djoser	2.0.3-1
djvu-dbg	#	#	0.8.4-3build1
djvu	$	djvu	0.8.4-3build1
dkim	$	dkim	1.0.4-1
dlt	$	dlt	2.0-1.1
dltlyse	$	dltlyse	1.1-1.1
dmidecode-dbg	#	#	3.12.2-10ubuntu1
dmidecode	$	dmidecode	3.12.2-10ubuntu1
dmsh	0.1.4	dmsh	0.1.4-3
dna-jellyfish	$	dna_jellyfish	2.3.0-4build1
dnaio	0.4.1	dnaio	0.4.1-2build1
dns	$	dns	3.2.1-1
dnslib	$	dnslib	0.9.12-1
dnspython	#	#	1.16.0-1ubuntu1
dnsq	$	dnsq	1.1.2-1.1
doc8	$	doc8	0.8.0-4
doc	#	#	3.8.2-0ubuntu2
docker	4.1.0	docker	4.1.0-1
dockerpty	$	dockerpty	0.4.1-2
dockerpycreds	$	dockerpycreds	0.3.0-1.1
docopt	0.6.2	docopt	0.6.2-2.2ubuntu1
docs-theme	#	#	2018.2-2
docutils	0.16	docutils	0.16+dfsg-2
dogpile.cache	0.9.0	dogpile	0.9.0-0ubuntu1
dogtail	0.9.11	dogtail	0.9.11-6
doit	(0, 31, 1)	doit	0.31.1-3.2ubuntu1
dolfin	2019.1.0	dolfin	2019.1.0-10build2
dominate	2.3.1	dominate	2.3.1-2
doris	$	doris	5.0.3~beta+dfsg-13build1
dotenv-cli	$	dotenv_cli	2.0.1-1
dotenv	$	dotenv	0.9.1-1
doubleratchet	0.6.0	doubleratchet	0.6.0-2
doublex	$	doublex	1.9.2-1
doxypypy	$	doxypypy	0.8.8.6-2
dpkt	1.9.2	dpkt	1.9.2-2
dput	$	dput	1.29
dracclient	$	dracclient	3.1.0-2
drizzle	0.0.0	drizzle	1.13.1-2build2
drmaa	#	#	0.7.9-1
drms	0.5.7	drms	0.5.7-1
dropbox	9.4.0	dropbox	9.4.0-2
drslib	$	drslib	0.3.1.p3-2
dsv	#	#	1.4.1-8
dtcwt	0.12.0	dtcwt	0.12.0-2
dtfabric	20190120	dtfabric	20190120-2build2
duecredit	0.7.0.debian3	duecredit	0.7.0-3
dugong	3.7.4	dugong	3.7.4+dfsg-2
dulwich	(0, 19, 15)	dulwich	0.19.15-1build1
dynamic-reconfigure	$	dynamic_reconfigure	1.6.0-3ubuntu1
easydev	0.9.38	easydev	0.9.38-2
easygui	$	easygui	0.98.1-1
easyprocess	0.2.5	easyprocess	0.2.5-2
easywebdav	$	easywebdav	1.2.0-8
ebooklib	$	ebooklib	0.17.1-1
ecasound	#	#	2.9.3-2
eccodes	2.16.0	eccodes	1:0.9.7-2build1
ecdsa	0.15	ecdsa	0.15-1
ecflow	4.17.1	ecflow	4.17.1-1build2
edgegrid	#	#	1.1.1-0ubuntu1
editobj3	$	editobj3	0.1+ds1-2
editor	1.0.3	editor	1.0.3-2
editorconfig	0.12.2	editorconfig	0.12.2-2.1
edlib	$	edlib	1.2.4-2ubuntu1
efilter	$	efilter	1.5-2.1
einsteinpy	0.1.0	einsteinpy	0.1.0+dfsg-1
elasticsearch	(7, 1, 0)	elasticsearch	7.1.0-2
eliot	1.11.0	eliot	1.11.0-1
emcee	3.0.0	emcee	3.0.0-1
empy	#	#	3.3.2-5.1
enable	4.8.1	enable	4.8.1-1build1
enchant	2.0.0	enchant	2.0.0-4
enet	$	enet	0.0~vcs.2017.05.26.git-2.2build1
engineio	3.11.1	engineio	3.11.1-1
enigma	0.1	enigma	0.1-3
entrypoints	0.3	entrypoints	0.3-2ubuntu1
envisage	4.9.0	envisage	4.9.0-2
envparse	0.2.0	envparse	0.2.0-2
envs	$	envs	1.2.6-1
enzyme	0.4.1	enzyme	0.4.1-2
epc	0.0.5	epc	0.0.5-3
ephem	3.7.7.1	ephem	3.7.7.1-1
epr-dbg	#	#	1.0.0-1build1
epr	1.0.0	epr	1.0.0-1build1
escript-mpi	#	#	5.5-5
escript	#	#	5.5-5
esmre	$	esmre	0.3.1-5build2
espeak	$	espeak	0.5-2build1
et-xmlfile	1.0.1	et_xmlfile	1.0.1-2.1
etcd3gw	0.2.1	etcd3gw	0.2.1-3ubuntu1.20.04.2
etcd	$	etcd	0.4.5-2
ethtool	$	ethtool	0.14-3build1
evdev	$	evdev	1.3.0+dfsg-1build1
evdev	$	evdev	1.3.0+dfsg-1build1
evemu	$	evemu	2.7.0-2
eventlet	0.25.1	eventlet	0.25.1-2ubuntu1.1
evtx	#	#	0.6.1-2
ewmh	0.1.6	ewmh	0.1.6-2
exabgp	$	exabgp	4.2.4-1
exactimage	#	#	1.0.2-7ubuntu2
exam	$	exam	0.10.5-3
examples	#	#	3.8.2-0ubuntu2
exchangelib	3.1.1	exchangelib	3.1.1-1
execnet	1.7.1	execnet	1.7.1-2
exif	#	#	2.2.0-5
exifread	2.1.2	exifread	2.2.0-5
exotel	$	exotel	0.1.5-2
expeyes	$	expeyes	4.6.2-1
expiringdict	$	expiringdict	1.1.4-1
extractor	&	&	1:0.6-8
extras	(1, 0, 0, 'final', 0)	extras	1.0.0-4build1
eyed3	$	eyed3	0.8.10-1.1
fabio-dbg	#	#	0.9.0+dfsg-4build1
fabio	$	fabio	0.9.0+dfsg-4build1
fabric	2.5.0	fabric	2.5.0-0.2
fabulous	0.3.0	fabulous	0.3.0+dfsg1-6
factory-boy	#	#	2.11.1-3
fake-factory	#	#	0.7.7-3
fakeredis	1.2.1	fakeredis	1.2.1-1
fakesleep	$	fakesleep	0.1-2
falcon	1.4.1.post-1	falcon	1.4.1-2build1
fann2	$	fann2	1:1.1.2+ds-1ubuntu2
fast-histogram	0.7	fast_histogram	0.7-2build1
fast5	b'0.6.4'	fast5	0.6.5-4build1
fastchunking	0.0.3	fastchunking	0.0.3-2build1
fastcluster	1.1.25	fastcluster	1.1.25-3build1
fasteners	$	fasteners	0.14.1-2
fastentrypoints	$	fastentrypoints	0.12-2
fastimport	(0, 9, 8)	fastimport	0.9.8-5build1
fastkml	0.11	fastkml	0.11-3
fava	1.14	fava	1.14-1
fdb	2.0.0	fdb	2.0.0-1.1
feather-format	#	#	0.3.1+dfsg1-3build1
feature-check	$	feature_check	0.2.2-4
fedora	0.10.0	fedora	0.10.0-2
feedgenerator	$	feedgenerator	1.9-2
feedparser	5.2.1	feedparser	5.2.1-2
ferret	#	#	7.5.0-2ubuntu2
ffc	2019.1.0.post0	ffc	2019.1.0.post0-4
fiat	#	#	2019.1.0-3
fido2	0.8.1	fido2	0.8.1-1
fife	$	fife	0.4.2-2
file-encryptor	$	file_encryptor	0.2.9-3
filelock	3.0.12	filelock	3.0.12-2
fiona	1.8.13	fiona	1.8.13-1build3
fire	0.2.1	fire	0.2.1-1
firewall	$	firewall	0.8.2-1
first	2.0.0	first	2.0.0-3
fisx-dbg	#	#	1.1.7-2build1
fisx	1.1.7	fisx	1.1.7-2build1
fitbit	0.3.1	fitbit	0.3.1-2
fitsio	1.1.0	fitsio	1.1.0+dfsg-1
fitz	$	fitz	1.16.11-1
fiu	$	fiu	1.00-3ubuntu4
fixtures	(3, 0, 0, 'final', 0)	fixtures	3.0.0-3build1
flake8-docstrings	1.1.0	flake8_docstrings	1.1.0-1
flake8-polyfill	1.0.2	flake8_polyfill	1.0.2-2
flake8	3.7.9	flake8	3.7.9-2
flaky	$	flaky	3.6.1-1build1
flasgger	0.9.4	flasgger	0.9.4+dfsg-1
flask-api	1.1	flask_api	1.1+dfsg-1
flask-assets	(0, 12)	flask_assets	0.12-3
flask-autoindex	0.6.2	flask_autoindex	0.6.2-5
flask-babel	$	flask_babel	0.11.2-3
flask-babelex	$	flask_babelex	0.9.3-2
flask-bcrypt	0.7.1	flask_bcrypt	0.7.1-2
flask-caching	1.8.0	flask_caching	1.8.0-2
flask-compress	$	flask_compress	1.4.0-3
flask-cors	3.0.8	flask_cors	3.0.8-2
flask-flatpages	0.6	flask_flatpages	0.6-1.1
flask-gravatar	0.4.2	flask_gravatar	0.4.2-2
flask-htmlmin	$	flask_htmlmin	1.3.2-2
flask-httpauth	3.2.4	flask_httpauth	3.2.4-3.1
flask-jwt-simple	$	flask_jwt_simple	0.0.3-1
flask-ldapconn	$	flask_ldapconn	0.7.2-1
flask-login	0.4.1	flask_login	0.4.1-3
flask-mail	0.9.1	flask_mail	0.9.1+dfsg1-1
flask-marshmallow	0.10.1	flask_marshmallow	0.10.1-4
flask-migrate	$	flask_migrate	2.5.2-1
flask-mongoengine	0.9.5	flask_mongoengine	0.9.5-0ubuntu2
flask-oauthlib	0.9.5	flask_oauthlib	0.9.5-2
flask-openid	$	flask_openid	1.2.5+dfsg-3
flask-paranoid	$	flask_paranoid	0.2.0-3
flask-peewee	0.6.5	flask_peewee	0.6.7-2
flask-principal	0.4.0	flask_principal	0.4.0-2
flask-rdf	$	flask_rdf	0.2.1-1.1
flask-restful	$	flask_restful	0.3.8-1
flask-script	$	flask_script	2.0.6-2
flask-security	1.7.5	flask_security	1.7.5-2
flask-seeder	$	flask_seeder	0.1~a2-2
flask-silk	0.2	flask_silk	0.2-18
flask-socketio	4.2.1	flask_socketio	4.2.1-1
flask-sockets	$	flask_sockets	0.2.1-4
flask-sqlalchemy	2.1	flask_sqlalchemy	2.1-4
flask-testing	$	flask_testing	0.7.1-1
flask	1.1.1	flask	1.1.1-2
flaskext.multistatic	#	#	1.0-2
flaskext.wtf	#	#	0.14.2-4
flatlatex	0.8	flatlatex	0.8-1
flexmock	0.10.4	flexmock	0.10.4-1build1
flickrapi	2.1.2	flickrapi	2.1.2-5.1
flor	$	flor	1.1.1-1
flufl.bounce	3.0	flufl	3.0-1
flufl.enum	4.1.1	flufl	4.1.1-3
flufl.i18n	2.0.2	flufl	2.0.2-1
flufl.lock	3.2	flufl	3.2-1
flufl.password	1.3	flufl	1.3-3
flufl.testing	0.7	flufl	0.7-2
fluids	0.1.75	fluids	0.1.75-1
fontforge	20190801 git:	fontforge	1:20190801~dfsg-4
fontforge	20190801 git:	fontforge	1:20190801~dfsg-4
fontmake	2.0.10	fontmake	2.0.10-1
fontmath	#	#	0.5.2-1
fontparts	#	#	0.8.7-2
fontpens	#	#	0.2.4-1
fonttools	#	#	4.5.0-1
forge	1.3.0	forge	1.3.0-5
formencode	$	formencode	1.3.0-3ubuntu3
fpylll	0.5.1dev	fpylll	0.5.1+ds1-2build1
freecontact	$	freecontact	1.1-5build2
freetype	$	freetype	2.1.0.post1-2
freezegun	0.3.15	freezegun	0.3.15-1
freezer-api	7.2.0	freezer_api	7.2.0-2build1
freezer-web-ui	#	#	7.2.0-1
freezerclient	2.2.0	freezerclient	2.2.0-2
frozen-flask	#	#	0.11-3.1
frozendict	$	frozendict	1.2-2
fs	2.4.11	fs	2.4.11-2
fsapfs	#	#	20190210-1.1
fsspec	0.6.1	fsspec	0.6.1-0.1
fswrap	$	fswrap	1.0.1-2
ftdi1	1.4	ftdi1	1.4-2build2
ftdi1	1.4	ftdi1	1.4-2build2
ftputil	3.4	ftputil	3.4-3
fudge	1.1.0	fudge	1.1.0-2
funcparserlib	$	funcparserlib	0.3.6-7.1
funcsigs	1.0.2	funcsigs	1.0.2-4build1
furl	$	furl	2.1.0-1
fuse	1.0.0	fuse	2:1.0.0-3build1
fusepy	$	fusepy	3.0.1-2
future	0.18.2	future	0.18.2-2
futurist	$	futurist	2.1.0-0ubuntu1
fuzzywuzzy	0.17.0	fuzzywuzzy	0.17.0-2build1
fysom	2.1.5	fysom	2.1.5-3
gabbi	1.44.0	gabbi	1.44.0-0ubuntu3
galpy	1.5	galpy	1.5-1build1
gammapy	0.16	gammapy	0.16-1build1
gammu	Gammu 1.41.0, python-gammu 2.12	gammu	2.12-2
gau2grid	0+unknown	gau2grid	2.0.4-2
gbulb	$	gbulb	0.6.1-0.1
gccjit-dbg	#	#	0.4-10build2
gccjit	$	gccjit	0.4-10build2
gdal	$	gdal	3.0.4+dfsg-1build3
gdbm-dbg	#	#	3.8.10-0ubuntu1~20.04
gdbm-dbg	#	#	3.8.10-0ubuntu1~20.04
gdbm	#	#	3.8.10-0ubuntu1~20.04
gdbm	#	#	3.8.10-0ubuntu1~20.04
gdcm	$	gdcm	3.0.5-1.1ubuntu2
gdl	#	#	0.9.9-12build1
gdspy	1.4.2	gdspy	1.4.2-2
gear	$	gear	0.5.8-5
gencpp	$	gencpp	0.6.2-4
geneimpacts	0.3.7	geneimpacts	0.3.7-2
gengeo	$	gengeo	1.4-3build5
genlisp	$	genlisp	0.4.17-3
genmsg	$	genmsg	0.5.14-1
genometools	#	#	1.6.1+ds-2
genpy	$	genpy	0.6.9-4
genshi	0.7.3	genshi	0.7.3-0ubuntu3.1
genty	$	genty	1.3.0-2build1
geoalchemy2	$	geoalchemy2	0.6.3-2
geographiclib	1.50	geographiclib	1.50.1-1build1
geoip2	2.9.0	geoip2	2.9.0+dfsg1-2
geoip	#	#	1.3.2-3build1
geojson	2.5.0	geojson	2.5.0-2
geolinks	0.2.0	geolinks	0.2.0-4
geomet	0.2.1-1	geomet	0.2.1.post1-1
geometry-msgs	$	geometry_msgs	1.12.7-2
geopandas	0.7.0	geopandas	0.7.0-1
geopy	1.20.0	geopy	1.20.0-1
geotiepoints	1.1.8	geotiepoints	1.1.8-2build1
germinate	$	germinate	2.32
gerritlib	$	gerritlib	0.8.0-2
getdns	v1.0.0b	getdns	1.0.0~b1-2build2
getfem++	#	#	5.3+dfsg1-3build2
gevent-dbg	#	#	1.4.0-1.2
gevent-websocket	#	#	0.10.1-3
gevent	1.4.0	gevent	1.4.0-1.2
gfapy	$	gfapy	1.0.0+dfsg-4build1
gffutils	0.10.1	gffutils	0.10.1-2
gflags	$	gflags	1.5.1-7
ghdiff	0.3	ghdiff	0.4-2
gi-cairo	#	#	3.36.0-1
gi-cairo	#	#	3.36.0-1
gi-dbg	#	#	3.36.0-1
gi-dbg	#	#	3.36.0-1
gi	3.36.0	gi	3.36.0-1
gi	3.36.0	gi	3.36.0-1
gimmik	2.1	gimmik	2.1-1
ginga	3.0.0	ginga	3.0.0-1
git-os-job	$	git_os_job	1.0.1-3
git	3.0.7	git	3.0.7-1
gitdb	2.0.6	gitdb	2.0.6-2
github	$	github	1.43.7-1
gitlab	2.0.1	gitlab	1:2.0.1-1
glad	0.1.30	glad	0.1.30-1.1
glance-store	$	glance_store	2.0.0-0ubuntu3
glance	$	glance	2:20.2.0-0ubuntu1
glanceclient	3.1.1	glanceclient	1:3.1.1-0ubuntu1
glare	$	glare	0.5.0-4ubuntu1
glareclient	0.5.3	glareclient	0.5.3-0ubuntu3
gleetex	$	gleetex	3.1.0-1
glob2	(0, 5)	glob2	0.5-3
glue	0.15.5+dfsg	glue	0.15.5+dfsg-1
glymur	0.9.1	glymur	0.9.1-1
glyphslib	#	#	5.1.6+ds1-1
gmplot	$	gmplot	1.2.0-2
gmpy2	$	gmpy2	2.1.0~b3-3ubuntu2
gmsh	4.4	gmsh	4.4.1+ds1-2build1
gmusicapi	12.1.1	gmusicapi	12.1.1-3
gnocchi	4.3.4	gnocchi	4.3.4-0ubuntu5
gnocchiclient	$	gnocchiclient	7.0.5-0ubuntu2
gntp	$	gntp	1.0.3-2
gnucash	#	#	1:3.8b-1ubuntu1
gnupg	0.4.5	gnupg	0.4.5-2
gnuplot	#	#	1.8-8
gnuplotlib	0.32	gnuplotlib	0.32-1
goocalendar	0.6	goocalendar	0.6-1
google-auth-httplib2	$	google_auth_httplib2	0.0.3-2
google-auth	#	#	1.5.1-2
google-compute-engine	$	google_compute_engine	20190801-0ubuntu4.2
google-i18n-address	#	#	2.3.2-3
googleapi-samples	#	#	1.7.11-3
googleapi	#	#	1.7.11-3
gpapi	$	gpapi	0.4.4+git20200310-2
gpg	$	gpg	1.13.1-7ubuntu2
gpg	$	gpg	1.13.1-7ubuntu2
gphoto2	1.9.0	gphoto2	1.9.0-1build1
gphoto2cffi	0.3	gphoto2cffi	0.4.3~a1-1.1
gpiozero	#	#	1.4.1-1.2
gps	3.20	gps	3.20-8ubuntu0.4
gpsoauth	0.4.1	gpsoauth	0.4.1-2
gpumodules	#	#	2.6.0-1
gpxpy	1.3.5	gpxpy	1.3.5-2
gpyfft-dbg	#	#	0.7.0-2build1
gpyfft	0.7.0	gpyfft	0.7.0-2build1
grapefruit	0.1a3	grapefruit	0.1~a3+dfsg-8
graphite2	$	graphite2	1.3.13-11build1
graphviz	0.8.4	graphviz	0.8.4-2
graypy	(1, 1, 3)	graypy	1.1.3-2
greenlet-dbg	#	#	0.4.15-4.1
greenlet	0.4.15	greenlet	0.4.15-4.1
grib	#	#	2.0.4-2build2
gridfs	$	gridfs	3.10.1-0ubuntu2
grpc-tools	$	grpc_tools	1.14.1-1build3
grpcio	#	#	1.16.1-1ubuntu5
gssapi	$	gssapi	1.6.1-1build1
gst-1.0-dbg	#	#	1.16.2-2
gst-1.0	#	#	1.16.2-2
gsw	3.3.1	gsw	3.3.1-1build2
gtkspellcheck	4.0.5	gtkspellcheck	4.0.5-2
gtts-token	$	gtts_token	1.1.3-1
gtts	2.0.3	gtts	2.0.3-1
gudhi	3.1.1	gudhi	3.1.1+dfsg-1build1
guess-language	$	guess_language	0.5.2-5
guessit	3.1.0	guessit	3.1.0-2
guestfs	$	guestfs	1:1.40.2-7ubuntu5
guidata	1.7.6	guidata	1.7.6-2
guiqwt	3.0.3	guiqwt	3.0.3-4build1
guizero-doc	#	#	1.1.0+dfsg1-1
guizero	1.1.0	guizero	1.1.0+dfsg1-1
gumbo	$	gumbo	0.10.1+dfsg-2.4
gunicorn	20.0.4	gunicorn	20.0.4-3
guzzle-sphinx-theme	$	guzzle_sphinx_theme	0.7.11-5
gv	$	gv	2.42.2-3build2
gv	$	gv	2.42.2-3build2
gwcs	0.12.0	gwcs	0.12.0-3
gyoto	$	gyoto	1.4.4-3
h11	0.9.0	h11	0.9.0-1
h2	3.1.1	h2	3.1.1-1
h5netcdf	0.7.1	h5netcdf	0.7.1-1
h5py-dbg	#	#	2.10.0-2build2
h5py	2.10.0	h5py	2.10.0-2build2
hacking	$	hacking	1.1.0-4
hamcrest	1.9.0	hamcrest	1.9.0-3
haproxy-log-analysis	#	#	2.0~b0-2
harmony	0.6.0	harmony	0.6.0-1
harp	$	harp	1.9.2-1build1
hashids	1.2.0	hashids	1.2.0-3
hbmqtt	$	hbmqtt	0.9.5-3
hdate	$	hdate	1.6.02-2ubuntu2
hdate	$	hdate	1.6.02-2ubuntu2
hdf-compass	$	hdf_compass	0.7~b8-2
hdf4	#	#	0.10.2-1build1
hdf5storage	0.1.15	hdf5storage	0.1.15-1
hdmedians	$	hdmedians	0.13~git20171027.8e0e9e3-1build3
hdmf	$	hdmf	1.5.4-1
healpy	1.13.0	healpy	1.13.0-1build1
heapdict	$	heapdict	1.0.0-1
heat-dashboard	$	heat_dashboard	3.0.1-0ubuntu1
heat	$	heat	1:14.2.0-0ubuntu1
heatclient	2.1.0	heatclient	2.1.0-0ubuntu1
hgapi	$	hgapi	1.7.3+git20170127.dd8fb7b-1
