Package Name	Version	Top-level Module	Apt_version
astropy-healpix	0.5	astropy_healpix	0.5-5build1
astropy-helpers	4.0	astropy_helpers	4.0-1
astropy-sphinx-theme	1.1	astropy_sphinx_theme	1.1-1
astropy	4.0	astropy	4.0-4ubuntu1
astroquery	0.4	astroquery	0.4+dfsg-3
astroscrappy	1.0.8	astroscrappy	1.0.8-1build2
asttokens	2.0.3	asttokens	2.0.3-1
async-generator-doc	#	#	1.10-2
async-generator	1.10	async_generator	1.10-2
async-timeout	3.0.1	async_timeout	3.0.1-1
asyncpg	0.20.0	asyncpg	0.20.0-1build1
asyncssh	1.12.2	asyncssh	1.12.2-1
asynctest-doc	#	#	0.13.0-4
asynctest	0.13.0	asynctest	0.13.0-4
atomicwrites	1.1.5	atomicwrites	1.1.5-2build1
attr	19.3.0	attr	19.3.0-2
aubio	0.4.9	aubio	0.4.9-4build1
audioread	2.1.5	audioread	2.1.5-2build1
audit	$	audit	1:2.8.5-2ubuntu6
audit	$	audit	1:2.8.5-2ubuntu6
augeas	$	augeas	0.5.0-1.1
authheaders	0.13.0	authheaders	0.13.0-1
authres	1.2.0	authres	1.2.0-2
autobahn	17.10.1	autobahn	17.10.1+dfsg1-6
automat	0.8.0	automat	0.8.0-1ubuntu1
automaton	1.16.0	automaton	1.16.0-2
autopep8	1.5	autopep8	1.5-1
autopilot-tests	#	#	1.6.0+17.04.20170313-0ubuntu8
autopilot-trace	#	#	1.6.0+17.04.20170313-0ubuntu8
autopilot	1.6.0	autopilot	1.6.0+17.04.20170313-0ubuntu8
avogadro	$	avogadro	1.93.0-3
avro	$	avro	1.9.1+dfsg-1
aws-requests-auth	0.4.1	aws_requests_auth	0.4.1-2
aws-xray-sdk	0.95	aws_xray_sdk	0.95-2
awsauth	$	awsauth	0.1.5-2
axolotl-curve25519	$	axolotl_curve25519	0.4.1.post2-2build2
axolotl	0.2.3	axolotl	0.2.3-3
azext-devops	$	azext_devops	0.17.0-5
azure-cli-core	2.0.81	#	2.0.81+ds-4ubuntu0.2
azure-cli-telemetry	1.0.4	#	2.0.81+ds-4ubuntu0.2
azure-cli-testsdk	0.2.4	#	2.0.81+ds-4ubuntu0.2
azure-cli	2.0.81	#	2.0.81+ds-4ubuntu0.2
azure-cosmos	3.1.1	#	3.1.1-3
azure-cosmosdb-table	1.0.6	#	1.0.5+git20191025-5
azure-datalake-store	0.0.48	#	0.0.48-3
azure-devtools	1.1.1	azure_devtools	1.1.1-2
azure-functions-devops-build	0.0.22	azure_functions_devops_build	0.0.22-4
azure-multiapi-storage	0.2.4	#	0.2.4-3
azure-storage	#	#	20181109+git-2
azure	4.0.0	azure	20200130+git-2
b2sdk	1.0.2	b2sdk	1.0.2-1
babel	2.6.0	babel	2.6.0+dfsg.1-1ubuntu2.2
babelfish	0.5.4	babelfish	0.5.4-3
babelgladeextractor	0.7.0	#	0.7.0-1
babeltrace	1.5.8	babeltrace	1.5.8-1build1
babeltrace	1.5.8	babeltrace	1.5.8-1build1
